id	dest_lon	dest_lat	origin_lon	origin_lat	distance_m	duration_s
"5105"	"-91.78566544"	"37.95147399"	"-91.33862666500001"	"38.649676377"	"110624.3"	"6468.3"
"6130"	"-73.94030800999998"	"40.81435405"	"-72.20927804899999"	"41.32199256"	"176741.7"	"9063.6"
"1344"	"-106.63540335"	"35.08240126"	"-106.4353616"	"35.378651512"	"46516.4"	"2638.3"
"2568"	"-94.72368736999999"	"38.93751207"	"-95.237598284"	"38.971199636"	"50863.9"	"2382.9"
"5106"	"-87.87226096000001"	"41.12119801"	"-88.05506837599998"	"41.97435851"	"118789.5"	"5644.9"
"6131"	"-87.57072744"	"37.98309841"	"-86.07995444299999"	"38.051160424"	"176032.7"	"7899.4"
"8138"	"-76.30135862"	"36.8618664"	"-76.10400953600001"	"40.516253755"	"500423.2"	"25526"
"8362"	"-93.36222699"	"44.92981399"	"-88.15344192099998"	"41.876311474"	"650752.9"	"27926.1"
"5107"	"-76.67105537"	"39.27301942"	"-76.86949329699999"	"40.215246563"	"129714.9"	"6233"
"6132"	"-74.79560193"	"39.98608527"	"-73.586387661"	"40.652110115"	"158147.4"	"7979.6"
"6133"	"-122.4534141"	"47.25956544"	"-122.53849827"	"48.016107209"	"118823"	"7303.1"
"1345"	"-73.77529893000001"	"42.65313234"	"-73.90908112699999"	"42.782650332"	"24283.3"	"1619.6"
"2569"	"-80.00338642"	"40.45610673"	"-80.426696752"	"40.384452581"	"47817.9"	"2936.1"
"5108"	"-71.1048835"	"42.33748316"	"-71.819385545"	"41.841445291"	"109991.2"	"5553.2"
"6134"	"-75.05862103"	"39.44526099"	"-75.8335"	"40.4889"	"183381.7"	"8598.1"
"8139"	"-94.77792801"	"29.311137"	"-90.41299662200001"	"30.006819819"	"515477"	"23125.1"
"8363"	"-100.91718409"	"32.68847716"	"-98.47346201000001"	"36.549277601"	"673469.6"	"29200.3"
"5109"	"-93.06633307"	"34.46782738"	"-91.97654915700001"	"34.990967407"	"133045.8"	"5837.9"
"6135"	"-87.67072975000001"	"41.86923082"	"-89.40353303099998"	"42.446694589"	"180036.4"	"8463.700000000001"
